iter	Passed	Remaining
1410	22166	103510
1411	22184	103507
1412	22202	103503
1413	22221	103501
1414	22240	103498
1415	22258	103495
1416	22276	103492
1417	22295	103491
1418	22313	103483
1419	22331	103478
1420	22349	103475
1421	22366	103464
1422	22383	103453
1423	22402	103452
1424	22420	103448
1425	22438	103443
1426	22456	103440
1427	22475	103436
1428	22493	103433
1429	22512	103431
1430	22529	103423
1431	22547	103417
1432	22566	103415
1433	22584	103411
1434	22603	103407
1435	22621	103402
1436	22639	103399
1437	22657	103390
1438	22675	103385
1439	22693	103382
1440	22712	103380
1441	22730	103375
1442	22749	103372
1443	22768	103370
1444	22786	103366
1445	22804	103363
1446	22823	103359
1447	22841	103356
1448	22860	103352
1449	22877	103343
1450	22896	103341
1451	22914	103336
1452	22932	103328
1453	22950	103322
1454	22968	103317
1455	22986	103313
1456	23003	103301
1457	23021	103298
1458	23040	103295
1459	23059	103292
1460	23077	103287
1461	23095	103282
1462	23113	103277
1463	23130	103267
1464	23149	103263
1465	23167	103257
1466	23186	103256
1467	23204	103252
1468	23223	103247
1469	23241	103243
1470	23260	103239
1471	23278	103235
1472	23297	103232
1473	23315	103227
1474	23333	103223
1475	23351	103216
1476	23370	103211
1477	23389	103211
1478	23408	103207
1479	23424	103194
1480	23443	103190
1481	23461	103186
1482	23480	103184
1483	23498	103179
1484	23519	103185
1485	23536	103174
1486	23554	103168
1487	23573	103165
1488	23592	103163
1489	23610	103158
1490	23629	103154
1491	23648	103150
1492	23666	103145
1493	23685	103142
1494	23703	103137
1495	23722	103133
1496	23740	103128
1497	23757	103118
1498	23776	103114
1499	23793	103106
1500	23812	103101
1501	23830	103094
1502	23848	103090
1503	23867	103089
1504	23886	103085
1505	23905	103083
1506	23924	103078
1507	23942	103072
1508	23960	103068
1509	23978	103058
1510	23996	103052
1511	24014	103045
1512	24032	103040
1513	24051	103036
1514	24070	103032
1515	24088	103028
1516	24105	103018
1517	24124	103012
1518	24142	103006
1519	24160	103002
1520	24180	103000
1521	24198	102993
1522	24217	102990
1523	24235	102986
1524	24254	102982
1525	24272	102976
1526	24290	102969
1527	24309	102966
1528	24327	102959
1529	24346	102954
1530	24365	102951
1531	24383	102946
1532	24401	102938
1533	24419	102929
1534	24437	102923
1535	24455	102918
1536	24474	102913
1537	24493	102909
1538	24511	102903
1539	24529	102898
1540	24546	102886
1541	24565	102882
1542	24584	102878
1543	24603	102876
1544	24621	102868
1545	24640	102864
1546	24657	102852
1547	24675	102847
1548	24694	102843
1549	24712	102837
1550	24731	102834
1551	24750	102830
1552	24769	102827
1553	24787	102819
1554	24806	102815
1555	24823	102803
1556	24841	102797
1557	24859	102789
1558	24878	102784
1559	24896	102778
1560	24914	102771
1561	24932	102764
1562	24951	102757
1563	24969	102751
1564	24988	102746
1565	25006	102742
1566	25025	102737
1567	25042	102725
1568	25060	102719
1569	25077	102706
1570	25095	102699
1571	25114	102693
1572	25132	102685
1573	25151	102681
1574	25169	102676
1575	25187	102669
1576	25206	102663
1577	25224	102657
1578	25243	102651
1579	25262	102646
1580	25280	102641
1581	25298	102634
1582	25317	102629
1583	25336	102625
1584	25354	102618
1585	25373	102612
1586	25390	102603
1587	25409	102597
1588	25427	102589
1589	25446	102585
1590	25465	102580
1591	25483	102572
1592	25501	102565
1593	25519	102558
1594	25538	102553
1595	25556	102547
1596	25573	102536
1597	25592	102529
1598	25610	102523
1599	25629	102517
1600	25648	102512
1601	25666	102505
1602	25684	102498
1603	25703	102493
